date,objectivity,sentiment
2015-02-01T16:46:40.000Z,0,-1
2015-02-02T10:11:04.000Z,0,-1
2015-02-02T11:55:43.000Z,0,1
2015-02-02T12:49:54.000Z,0,-1
2015-02-02T17:09:07.000Z,0,1
2015-02-02T17:42:21.000Z,1,0
2015-02-02T19:37:44.000Z,0,0
2015-02-03T12:13:07.000Z,0,0
2015-02-03T15:48:21.000Z,0,-1
2015-02-03T18:43:34.000Z,1,0
2015-02-03T19:30:03.000Z,0,2
2015-02-03T21:12:34.000Z,0,1
2015-02-04T01:15:19.000Z,1,0
2015-02-04T06:40:18.000Z,1,0
2015-02-04T08:51:27.000Z,0,1
2015-02-05T07:14:09.000Z,0,-1
2015-02-05T17:35:22.000Z,0,0
2015-02-05T19:49:28.000Z,0,-1
2015-02-05T20:36:50.000Z,0,1
2015-02-05T21:41:52.000Z,0,2
2015-02-05T22:02:10.000Z,0,1
2015-02-05T23:04:49.000Z,0,-1
2015-02-06T06:59:25.000Z,1,0
2015-02-06T11:12:36.000Z,0,1
2015-02-06T13:20:56.000Z,0,-1
2015-02-06T19:34:39.000Z,1,0
2015-02-06T23:27:02.000Z,0,2
2015-02-07T09:50:46.000Z,0,1
2015-02-07T11:02:17.000Z,1,0
2015-02-07T11:36:40.000Z,0,-1
2015-02-07T11:48:34.000Z,0,-1
2015-02-07T12:52:10.000Z,0,-1
2015-02-07T13:16:09.000Z,0,0
2015-02-07T14:24:39.000Z,0,-1
2015-02-07T14:47:29.000Z,0,-1
2015-02-07T15:05:11.000Z,0,0
2015-02-07T16:28:56.000Z,0,-1
2015-02-07T17:01:58.000Z,0,-1
2015-02-07T19:04:46.000Z,0,1
2015-02-07T19:58:49.000Z,0,-1
2015-02-07T20:05:06.000Z,1,0
2015-02-07T21:36:24.000Z,0,0
2015-02-07T22:02:36.000Z,0,-1
2015-02-07T22:04:46.000Z,1,0
2015-02-07T22:13:10.000Z,0,0
2015-02-07T22:20:18.000Z,0,-1
2015-02-07T22:24:32.000Z,0,-1
2015-02-07T22:36:58.000Z,0,0
2015-02-07T22:38:42.000Z,0,-1
2015-02-07T22:41:29.000Z,1,0
2015-02-07T23:27:57.000Z,1,0
2015-02-08T09:36:16.000Z,1,0
2015-02-08T12:02:00.000Z,1,0
2015-02-08T16:55:56.000Z,0,-1
2015-02-09T15:39:00.000Z,1,0
2015-02-10T14:21:14.000Z,1,0
2015-02-10T21:38:41.000Z,0,-1
2015-02-11T07:11:52.000Z,0,-1
2015-02-11T09:06:51.000Z,0,1
2015-02-11T09:58:29.000Z,0,-1
2015-02-11T10:34:02.000Z,1,0
2015-02-11T14:52:20.000Z,0,-1
2015-02-11T17:01:19.000Z,1,0
2015-02-11T18:17:55.000Z,0,0
2015-02-11T19:14:17.000Z,1,0
2015-02-11T21:40:54.000Z,1,0
2015-02-13T11:32:42.000Z,1,0
2015-02-13T14:06:29.000Z,0,-2
2015-02-13T14:41:30.000Z,1,0
2015-02-13T15:45:08.000Z,1,0
2015-02-13T19:08:31.000Z,1,0
2015-02-13T23:12:08.000Z,0,-1
2015-02-14T06:25:54.000Z,0,1
2015-02-14T17:11:46.000Z,0,1
2015-02-15T08:07:24.000Z,1,0
2015-02-16T15:16:50.000Z,1,0
2015-02-16T21:36:13.000Z,0,1
2015-02-16T21:53:11.000Z,0,-1
2015-02-17T13:39:47.000Z,0,1
2015-02-17T17:22:24.000Z,1,0
2015-02-17T17:51:21.000Z,1,0
2015-02-17T18:43:54.000Z,1,0
2015-02-18T05:27:16.000Z,1,0
2015-02-18T06:47:29.000Z,0,-1
2015-02-18T13:02:10.000Z,0,0
2015-02-18T16:35:19.000Z,0,1
2015-02-19T05:18:24.000Z,1,0
2015-02-19T13:02:14.000Z,1,0
2015-02-19T23:16:06.000Z,0,2
2015-02-20T02:39:25.000Z,0,-2
2015-02-21T12:16:41.000Z,1,0
2015-02-22T15:48:02.000Z,1,0
2015-02-22T19:21:17.000Z,0,-1
2015-02-24T12:58:59.000Z,0,-1
2015-02-24T23:02:50.000Z,0,-1
2015-02-25T15:34:12.000Z,0,-2
2015-02-25T16:45:50.000Z,0,1
2015-02-26T06:28:09.000Z,0,0
2015-02-26T09:06:25.000Z,1,0
2015-02-26T09:06:40.000Z,1,0
2015-02-26T09:09:12.000Z,1,0
2015-02-26T10:16:36.000Z,0,1
2015-02-26T10:26:22.000Z,0,1
2015-02-26T10:39:12.000Z,0,-1
2015-02-26T10:45:58.000Z,0,1
2015-02-26T11:16:16.000Z,1,0
2015-02-26T11:32:08.000Z,0,1
2015-02-26T11:58:21.000Z,0,-1
2015-02-26T16:07:51.000Z,0,1
2015-02-26T18:44:41.000Z,1,0
2015-02-26T21:16:13.000Z,1,0
2015-02-27T17:46:22.000Z,0,-1
2015-02-28T16:56:16.000Z,1,0
2015-03-01T09:14:38.000Z,0,1
2015-03-01T13:04:33.000Z,0,-1
2015-03-01T14:34:23.000Z,0,-2
2015-03-01T22:16:06.000Z,1,0
2015-03-02T06:54:20.000Z,0,-1
2015-03-02T16:51:39.000Z,0,-1
2015-03-02T21:07:50.000Z,0,-2
2015-03-02T22:25:37.000Z,0,-2
2015-03-03T10:38:55.000Z,0,-2
2015-03-03T17:22:20.000Z,0,-1
2015-03-03T20:27:34.000Z,1,0
2015-03-04T05:30:53.000Z,0,-1
2015-03-04T22:27:10.000Z,0,1
2015-03-05T07:18:34.000Z,1,0
2015-03-06T06:18:43.000Z,0,-1
2015-03-06T06:37:56.000Z,1,0
2015-03-06T09:51:06.000Z,0,-1
2015-03-07T09:49:20.000Z,0,0
2015-03-07T10:23:33.000Z,1,0
2015-03-07T14:12:28.000Z,0,-1
2015-03-10T10:48:59.000Z,0,-2
2015-03-10T13:03:20.000Z,0,1
2015-03-10T13:46:39.000Z,1,0
2015-03-10T14:07:35.000Z,0,-1
2015-03-10T15:05:55.000Z,1,0
2015-03-10T21:56:28.000Z,0,-1
2015-03-10T21:56:42.000Z,1,0
2015-03-11T14:25:53.000Z,1,0
2015-03-12T13:40:03.000Z,0,1
2015-03-12T19:30:37.000Z,0,-1
2015-03-13T07:41:08.000Z,0,1
2015-03-13T08:11:13.000Z,0,-2
2015-03-14T07:33:45.000Z,0,-1
2015-03-14T08:37:46.000Z,0,1
2015-03-14T09:32:31.000Z,0,-1
2015-03-16T10:24:00.000Z,0,-1
2015-03-16T11:59:17.000Z,1,0
2015-03-16T12:03:45.000Z,1,0
2015-03-16T16:33:17.000Z,0,-2
2015-03-16T19:25:47.000Z,0,-1
2015-03-16T19:30:45.000Z,1,0
2015-03-16T21:07:57.000Z,0,-1
2015-03-17T07:05:08.000Z,0,1
2015-03-17T19:49:19.000Z,0,1
2015-03-18T06:53:21.000Z,0,1
2015-03-18T09:01:51.000Z,1,0
2015-03-18T12:24:42.000Z,0,-1
2015-03-19T12:24:25.000Z,0,0
2015-03-19T19:56:22.000Z,0,-1
2015-03-20T07:27:16.000Z,0,-1
2015-03-20T11:15:16.000Z,1,0
2015-03-20T11:54:31.000Z,0,1
2015-03-20T14:43:39.000Z,0,1
2015-03-20T20:31:08.000Z,0,-1
2015-03-21T11:48:57.000Z,0,1
2015-03-21T13:30:45.000Z,0,0
2015-03-21T16:10:57.000Z,0,1
2015-03-21T20:35:49.000Z,0,2
2015-03-21T22:40:04.000Z,0,0
2015-03-22T00:04:06.000Z,0,1
2015-03-22T14:46:49.000Z,1,0
2015-03-22T18:02:36.000Z,0,-1
2015-03-23T05:40:34.000Z,0,1
2015-03-23T10:42:25.000Z,0,-1
2015-03-23T13:55:34.000Z,0,1
2015-03-23T14:26:55.000Z,1,0
2015-03-23T22:45:13.000Z,0,1
2015-03-23T23:04:58.000Z,1,0
2015-03-23T23:19:20.000Z,0,-1
2015-03-24T10:13:06.000Z,0,-2
2015-03-24T10:45:11.000Z,1,0
2015-03-24T13:23:19.000Z,1,0
2015-03-24T20:53:48.000Z,1,0
2015-03-24T22:09:13.000Z,0,0
2015-03-25T11:42:16.000Z,0,-1
2015-03-25T12:05:09.000Z,1,0
2015-03-26T07:59:23.000Z,0,-1
2015-03-26T08:32:35.000Z,1,0
2015-03-26T09:50:58.000Z,1,0
2015-03-26T10:37:20.000Z,1,0
2015-03-26T13:42:57.000Z,1,0
2015-03-26T14:24:18.000Z,1,0
2015-03-26T17:35:05.000Z,0,-1
2015-03-26T22:19:04.000Z,0,0
2015-03-26T23:16:23.000Z,0,-1
2015-03-27T00:54:39.000Z,0,-1
2015-03-27T06:53:54.000Z,0,1
2015-03-27T06:54:11.000Z,0,1
2015-03-27T07:27:01.000Z,0,1
2015-03-27T07:46:41.000Z,0,-1
2015-03-27T08:47:33.000Z,0,1
2015-03-27T09:00:52.000Z,0,-1
2015-03-27T09:01:49.000Z,0,1
2015-03-27T09:46:55.000Z,1,0
2015-03-27T16:25:39.000Z,0,1
2015-03-27T16:26:35.000Z,0,-1
